collection,judge,budget_full_eq,eps,method,act,wrong,var_est
dbpedia-entity,llm,20,0.01,uniform,0.0,0.0,0.41050266084026504
dbpedia-entity,llm,20,0.01,weighted,0.0,0.0,0.07237126907914
dbpedia-entity,llm,20,0.01,active_judge,0.0,0.0,0.2286728622968207
dbpedia-entity,llm,20,0.01,strat_pilot,0.0033333333333333335,0.0,0.08073372189941526
dbpedia-entity,llm,20,0.01,weighted_cv,0.0,0.0,0.05324553157369966
dbpedia-entity,llm,20,0.01,active_cv,0.0,0.0,0.13182426688599236
dbpedia-entity,llm,20,0.02,uniform,0.0,0.0,0.3927078571939558
dbpedia-entity,llm,20,0.02,weighted,0.0,0.0,0.07651083710221962
dbpedia-entity,llm,20,0.02,active_judge,0.0,0.0,0.16608271193300664
dbpedia-entity,llm,20,0.02,strat_pilot,0.0,0.0,0.07355695658024916
dbpedia-entity,llm,20,0.02,weighted_cv,0.0,0.0,0.05708769823858507
dbpedia-entity,llm,20,0.02,active_cv,0.0,0.0,0.15509914161090393
dbpedia-entity,llm,30,0.01,uniform,0.02,0.0,0.23241336050475273
dbpedia-entity,llm,30,0.01,weighted,0.016666666666666666,0.0,0.07419378941839976
dbpedia-entity,llm,30,0.01,active_judge,0.0,0.0,0.22737819185871894
dbpedia-entity,llm,30,0.01,strat_pilot,0.056666666666666664,0.0,0.07412218676186162
dbpedia-entity,llm,30,0.01,weighted_cv,0.06333333333333334,0.0,0.05380932094875258
dbpedia-entity,llm,30,0.01,active_cv,0.03,0.0033333333333333335,0.13508457032728244
dbpedia-entity,llm,30,0.02,uniform,0.02666666666666667,0.0,0.2008362969000277
dbpedia-entity,llm,30,0.02,weighted,0.09666666666666666,0.0,0.07162481027894989
dbpedia-entity,llm,30,0.02,active_judge,0.02,0.0,0.21744891308308525
dbpedia-entity,llm,30,0.02,strat_pilot,0.11333333333333333,0.0,0.07268689757839705
dbpedia-entity,llm,30,0.02,weighted_cv,0.14333333333333334,0.0,0.052788235729629374
dbpedia-entity,llm,30,0.02,active_cv,0.03666666666666667,0.0,0.13236515595470416
dbpedia-entity,llm,45,0.01,uniform,0.06,0.0,0.2549608127823078
dbpedia-entity,llm,45,0.01,weighted,0.15,0.0,0.0757460818190441
dbpedia-entity,llm,45,0.01,active_judge,0.03,0.0,0.2258874947142711
dbpedia-entity,llm,45,0.01,strat_pilot,0.16666666666666666,0.0,0.0757028429768547
dbpedia-entity,llm,45,0.01,weighted_cv,0.24,0.0,0.054449348480461145
dbpedia-entity,llm,45,0.01,active_cv,0.09333333333333334,0.0,0.13716327247393878
dbpedia-entity,llm,45,0.02,uniform,0.1,0.0,0.209962028415336
dbpedia-entity,llm,45,0.02,weighted,0.30666666666666664,0.0,0.07316800638104994
dbpedia-entity,llm,45,0.02,active_judge,0.08333333333333333,0.0,0.23306475088061868
dbpedia-entity,llm,45,0.02,strat_pilot,0.27,0.0,0.07319691514070957
dbpedia-entity,llm,45,0.02,weighted_cv,0.41,0.0,0.053764226530937716
dbpedia-entity,llm,45,0.02,active_cv,0.18666666666666668,0.0,0.13461674468335805
dbpedia-entity,llm,60,0.01,uniform,0.06333333333333334,0.0,0.23040200357717106
dbpedia-entity,llm,60,0.01,weighted,0.22,0.0,0.07280405805495704
dbpedia-entity,llm,60,0.01,active_judge,0.056666666666666664,0.0,0.221332835907018
dbpedia-entity,llm,60,0.01,strat_pilot,0.24,0.0,0.07255288429870398
dbpedia-entity,llm,60,0.01,weighted_cv,0.32,0.0,0.05297585165371102
dbpedia-entity,llm,60,0.01,active_cv,0.16,0.006666666666666667,0.13382067673344153
dbpedia-entity,llm,60,0.02,uniform,0.13,0.0,0.23613417143806076
dbpedia-entity,llm,60,0.02,weighted,0.44333333333333336,0.0,0.07507790277100479
dbpedia-entity,llm,60,0.02,active_judge,0.14,0.0,0.23049977482590472
dbpedia-entity,llm,60,0.02,strat_pilot,0.3933333333333333,0.0,0.07396983204936634
dbpedia-entity,llm,60,0.02,weighted_cv,0.5466666666666666,0.0,0.053952544501660975
dbpedia-entity,llm,60,0.02,active_cv,0.28,0.0,0.13558272896463403
dbpedia-entity,llm,90,0.01,uniform,0.15,0.0,0.16896395545370993
dbpedia-entity,llm,90,0.01,weighted,0.36,0.0,0.051544975400943785
dbpedia-entity,llm,90,0.01,active_judge,0.16,0.0,0.13883001595818711
dbpedia-entity,llm,90,0.01,strat_pilot,0.36666666666666664,0.0,0.05180463746598143
dbpedia-entity,llm,90,0.01,weighted_cv,0.43666666666666665,0.0,0.03907166798078189
dbpedia-entity,llm,90,0.01,active_cv,0.29,0.0,0.08289120412303798
dbpedia-entity,llm,90,0.02,uniform,0.3,0.0,0.18933770136353817
dbpedia-entity,llm,90,0.02,weighted,0.62,0.0,0.05317652397684116
dbpedia-entity,llm,90,0.02,active_judge,0.3,0.0,0.14350436107540077
dbpedia-entity,llm,90,0.02,strat_pilot,0.6066666666666667,0.0,0.053046785751311824
dbpedia-entity,llm,90,0.02,weighted_cv,0.6666666666666666,0.0,0.04012261566467668
dbpedia-entity,llm,90,0.02,active_cv,0.48,0.0,0.08654388631175164
