collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,dup_frac,var_est,sampling,pilot_cost,cv_pred,bound
dbpedia-entity,llm,20,0.01,weighted_cv,0.0,0.0,1607.1033333333332,1028.9266666666667,0.0,0.06118555978891221,shared,full,binary,bet
dbpedia-entity,llm,20,0.01,ai_calib,0.0,0.0,1609.75,1028.9266666666667,0.0,0.09024579134170586,shared,full,binary,bet
dbpedia-entity,llm,20,0.01,ai_resid,0.0,0.0,1606.39,1028.9266666666667,0.0,0.07372216325026386,shared,full,binary,bet
dbpedia-entity,llm,20,0.01,ai_robust_0.5,0.0,0.0,1608.3166666666666,1028.9266666666667,0.0,0.06188146690547249,shared,full,binary,bet
dbpedia-entity,llm,20,0.01,ai_robust_0.3,0.0,0.0,1608.3466666666666,1028.9266666666667,0.0,0.06186748825448005,shared,full,binary,bet
dbpedia-entity,llm,20,0.02,weighted_cv,0.0,0.0,1603.7866666666666,1027.9066666666668,0.0,0.06092785076187925,shared,full,binary,bet
dbpedia-entity,llm,20,0.02,ai_calib,0.0,0.0,1604.46,1027.9066666666668,0.0,0.08999671488680275,shared,full,binary,bet
dbpedia-entity,llm,20,0.02,ai_resid,0.0,0.0,1602.9966666666667,1027.9066666666668,0.0,0.061606555679433725,shared,full,binary,bet
dbpedia-entity,llm,20,0.02,ai_robust_0.5,0.0,0.0,1603.3966666666668,1027.9066666666668,0.0,0.060838816580065846,shared,full,binary,bet
dbpedia-entity,llm,20,0.02,ai_robust_0.3,0.0,0.0,1604.32,1027.9066666666668,0.0,0.060712233569454904,shared,full,binary,bet
dbpedia-entity,llm,30,0.01,weighted_cv,0.0,0.0,1909.0166666666667,1028.4033333333334,0.0,0.06060189455946073,shared,full,binary,bet
dbpedia-entity,llm,30,0.01,ai_calib,0.0,0.0,1908.2966666666666,1028.4033333333334,0.0,0.09354376648093538,shared,full,binary,bet
dbpedia-entity,llm,30,0.01,ai_resid,0.0,0.0,1907.3466666666666,1028.4033333333334,0.0,0.06547899386848362,shared,full,binary,bet
dbpedia-entity,llm,30,0.01,ai_robust_0.5,0.0,0.0,1905.1666666666667,1028.4033333333334,0.0,0.06147684961449165,shared,full,binary,bet
dbpedia-entity,llm,30,0.01,ai_robust_0.3,0.0,0.0,1907.81,1028.4033333333334,0.0,0.06094638509890107,shared,full,binary,bet
dbpedia-entity,llm,30,0.02,weighted_cv,0.0,0.0,1910.1733333333334,1028.4733333333334,0.0,0.06202375053984482,shared,full,binary,bet
dbpedia-entity,llm,30,0.02,ai_calib,0.0,0.0,1909.8766666666668,1028.4733333333334,0.0,0.09302942766836632,shared,full,binary,bet
dbpedia-entity,llm,30,0.02,ai_resid,0.0,0.0,1911.3166666666666,1028.4733333333334,0.0,0.06367042241627209,shared,full,binary,bet
dbpedia-entity,llm,30,0.02,ai_robust_0.5,0.0,0.0,1910.0533333333333,1028.4733333333334,0.0,0.06091216592699858,shared,full,binary,bet
dbpedia-entity,llm,30,0.02,ai_robust_0.3,0.0,0.0,1910.1,1028.4733333333334,0.0,0.06191251604136115,shared,full,binary,bet
dbpedia-entity,llm,45,0.01,weighted_cv,0.0,0.0,2366.8766666666666,1029.0033333333333,0.0,0.06287700909969683,shared,full,binary,bet
dbpedia-entity,llm,45,0.01,ai_calib,0.0,0.0,2366.883333333333,1029.0033333333333,0.0,0.09387605495473197,shared,full,binary,bet
dbpedia-entity,llm,45,0.01,ai_resid,0.0,0.0,2367.733333333333,1029.0033333333333,0.0,0.06511884142826661,shared,full,binary,bet
dbpedia-entity,llm,45,0.01,ai_robust_0.5,0.0,0.0,2363.59,1029.0033333333333,0.0,0.0630455653834961,shared,full,binary,bet
dbpedia-entity,llm,45,0.01,ai_robust_0.3,0.0,0.0,2362.6366666666668,1029.0033333333333,0.0,0.06289050010046517,shared,full,binary,bet
dbpedia-entity,llm,45,0.02,weighted_cv,0.0,0.0,2353.346666666667,1030.0566666666666,0.0,0.06107619802970452,shared,full,binary,bet
dbpedia-entity,llm,45,0.02,ai_calib,0.0,0.0,2351.5666666666666,1030.0566666666666,0.0,0.0915522412799384,shared,full,binary,bet
dbpedia-entity,llm,45,0.02,ai_resid,0.0,0.0,2356.0633333333335,1030.0566666666666,0.0,0.0673149282572111,shared,full,binary,bet
dbpedia-entity,llm,45,0.02,ai_robust_0.5,0.0,0.0,2354.866666666667,1030.0566666666666,0.0,0.061442587895400476,shared,full,binary,bet
dbpedia-entity,llm,45,0.02,ai_robust_0.3,0.0,0.0,2353.6,1030.0566666666666,0.0,0.060931940575945115,shared,full,binary,bet
dbpedia-entity,llm,60,0.01,weighted_cv,0.0,0.0,2772.45,1025.9866666666667,0.0,0.052257942764617586,shared,full,binary,bet
dbpedia-entity,llm,60,0.01,ai_calib,0.0,0.0,2771.8233333333333,1025.9866666666667,0.0,0.07709999542957253,shared,full,binary,bet
dbpedia-entity,llm,60,0.01,ai_resid,0.0,0.0,2773.116666666667,1025.9866666666667,0.0,0.05239733416286369,shared,full,binary,bet
dbpedia-entity,llm,60,0.01,ai_robust_0.5,0.0,0.0,2773.036666666667,1025.9866666666667,0.0,0.05204621403487631,shared,full,binary,bet
dbpedia-entity,llm,60,0.01,ai_robust_0.3,0.0,0.0,2775.3733333333334,1025.9866666666667,0.0,0.0524052691294132,shared,full,binary,bet
dbpedia-entity,llm,60,0.02,weighted_cv,0.0,0.0,2764.74,1028.7966666666666,0.0,0.052416416381590655,shared,full,binary,bet
dbpedia-entity,llm,60,0.02,ai_calib,0.0,0.0,2764.03,1028.7966666666666,0.0,0.07631567679328531,shared,full,binary,bet
dbpedia-entity,llm,60,0.02,ai_resid,0.0,0.0,2761.9166666666665,1028.7966666666666,0.0,0.053721844296948845,shared,full,binary,bet
dbpedia-entity,llm,60,0.02,ai_robust_0.5,0.0,0.0,2763.2366666666667,1028.7966666666666,0.0,0.052365768646860274,shared,full,binary,bet
dbpedia-entity,llm,60,0.02,ai_robust_0.3,0.0,0.0,2763.1366666666668,1028.7966666666666,0.0,0.052469727151784155,shared,full,binary,bet
dbpedia-entity,llm,90,0.01,weighted_cv,0.0,0.0,3658.4533333333334,1029.56,0.0,0.03539731363512613,shared,full,binary,bet
dbpedia-entity,llm,90,0.01,ai_calib,0.0,0.0,3658.2066666666665,1029.56,0.0,0.04702480464637998,shared,full,binary,bet
dbpedia-entity,llm,90,0.01,ai_resid,0.0,0.0,3661.71,1029.56,0.0,0.03688907525019324,shared,full,binary,bet
dbpedia-entity,llm,90,0.01,ai_robust_0.5,0.0,0.0,3659.116666666667,1029.56,0.0,0.035524844579408035,shared,full,binary,bet
dbpedia-entity,llm,90,0.01,ai_robust_0.3,0.0,0.0,3656.423333333333,1029.56,0.0,0.03591201359859955,shared,full,binary,bet
dbpedia-entity,llm,90,0.02,weighted_cv,0.0,0.0,3623.0133333333333,1025.8666666666666,0.0,0.03564129321208278,shared,full,binary,bet
dbpedia-entity,llm,90,0.02,ai_calib,0.0,0.0,3625.3933333333334,1025.8666666666666,0.0,0.04703692339784372,shared,full,binary,bet
dbpedia-entity,llm,90,0.02,ai_resid,0.0,0.0,3627.42,1025.8666666666666,0.0,0.0361571396480747,shared,full,binary,bet
dbpedia-entity,llm,90,0.02,ai_robust_0.5,0.0,0.0,3624.233333333333,1025.8666666666666,0.0,0.035726592399592666,shared,full,binary,bet
dbpedia-entity,llm,90,0.02,ai_robust_0.3,0.0,0.0,3626.4066666666668,1025.8666666666666,0.0,0.03568445204858618,shared,full,binary,bet
