collection,judge,budget_full_eq,eps,method,act,wrong,var_est
dbpedia-entity,llm,60,0.01,uniform,0.0,0.0,0.22799599282096233
dbpedia-entity,llm,60,0.01,weighted,0.0,0.0,0.08733817723501662
dbpedia-entity,llm,60,0.01,active_judge,0.0,0.0,0.27021683905729016
dbpedia-entity,llm,60,0.01,strat_pilot,0.0,0.0,0.08559476853580575
dbpedia-entity,llm,60,0.01,weighted_cv,0.0,0.0,0.06366148386412278
dbpedia-entity,llm,60,0.01,active_cv,0.0,0.0,0.1691576441210196
dbpedia-entity,llm,60,0.02,uniform,0.0,0.0,0.2276410572314174
dbpedia-entity,llm,60,0.02,weighted,0.0,0.0,0.08451203994827206
dbpedia-entity,llm,60,0.02,active_judge,0.0,0.0,0.2637960010826308
dbpedia-entity,llm,60,0.02,strat_pilot,0.0,0.0,0.08365433964694474
dbpedia-entity,llm,60,0.02,weighted_cv,0.0,0.0,0.06215203948648947
dbpedia-entity,llm,60,0.02,active_cv,0.0,0.0,0.16259312113440685
dbpedia-entity,llm,90,0.01,uniform,0.0,0.0,0.16523316858335446
dbpedia-entity,llm,90,0.01,weighted,0.0,0.0,0.059869947009866635
dbpedia-entity,llm,90,0.01,active_judge,0.0,0.0,0.16277096109599865
dbpedia-entity,llm,90,0.01,strat_pilot,0.0,0.0,0.05983566402888338
dbpedia-entity,llm,90,0.01,weighted_cv,0.0,0.0,0.04494095121776564
dbpedia-entity,llm,90,0.01,active_cv,0.0,0.0,0.1040512295354272
dbpedia-entity,llm,90,0.02,uniform,0.0,0.0,0.16720198442933745
dbpedia-entity,llm,90,0.02,weighted,0.0,0.0,0.06065499332242875
dbpedia-entity,llm,90,0.02,active_judge,0.0,0.0,0.1677450020886864
dbpedia-entity,llm,90,0.02,strat_pilot,0.0,0.0,0.06037751664472277
dbpedia-entity,llm,90,0.02,weighted_cv,0.0033333333333333335,0.0,0.04558446562900265
dbpedia-entity,llm,90,0.02,active_cv,0.0,0.0,0.10454658493386505
