collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,dup_frac,var_est,sampling,pilot_cost,cv_pred,bound
dbpedia-entity,llm,20,0.01,weighted_cv,0.19,0.0033333333333333335,1613.4766666666667,1028.3666666666666,0.0,0.06381289424494477,shared,full,binary,t
dbpedia-entity,llm,20,0.01,ai_calib,0.15333333333333332,0.0,1615.06,1028.3666666666666,0.0,0.09525480252036353,shared,full,binary,t
dbpedia-entity,llm,20,0.01,ai_resid,0.16,0.0,1613.3866666666668,1028.3666666666666,0.0,0.06793422091852087,shared,full,binary,t
dbpedia-entity,llm,20,0.01,ai_robust_0.5,0.19666666666666666,0.0033333333333333335,1613.4233333333334,1028.3666666666666,0.0,0.0648442201986812,shared,full,binary,t
dbpedia-entity,llm,20,0.01,ai_robust_0.3,0.21,0.0,1613.6033333333332,1028.3666666666666,0.0,0.06438555319991225,shared,full,binary,t
dbpedia-entity,llm,20,0.02,weighted_cv,0.32,0.0,1607.7266666666667,1028.9833333333333,0.0,0.06396751947649916,shared,full,binary,t
dbpedia-entity,llm,20,0.02,ai_calib,0.19,0.0,1605.7733333333333,1028.9833333333333,0.0,0.09486103299444718,shared,full,binary,t
dbpedia-entity,llm,20,0.02,ai_resid,0.30666666666666664,0.0,1607.3166666666666,1028.9833333333333,0.0,0.07836057237909322,shared,full,binary,t
dbpedia-entity,llm,20,0.02,ai_robust_0.5,0.31333333333333335,0.0,1605.9033333333334,1028.9833333333333,0.0,0.06291515971293438,shared,full,binary,t
dbpedia-entity,llm,20,0.02,ai_robust_0.3,0.32,0.0,1605.8733333333332,1028.9833333333333,0.0,0.06295013471274837,shared,full,binary,t
