collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound
dbpedia-entity,llm,200,0.01,uniform,0.38333333333333336,0.0,0.06034559800829773,6879.483333333334,1032.3433333333332,0.0,shared,full,t
dbpedia-entity,llm,200,0.01,weighted,0.7066666666666667,0.0,0.022578578970511392,6862.253333333333,1032.3433333333332,0.0,shared,full,t
dbpedia-entity,llm,200,0.01,active_judge,0.57,0.0,0.03261121008337355,6835.946666666667,1032.3433333333332,0.0,shared,full,t
dbpedia-entity,llm,200,0.01,strat_pilot,0.7133333333333334,0.0,0.0224868967940976,6865.656666666667,1032.3433333333332,0.0,shared,full,t
dbpedia-entity,llm,200,0.01,weighted_cv,0.74,0.0,0.019827121725807396,6864.55,1032.3433333333332,0.0,shared,full,t
dbpedia-entity,llm,200,0.01,active_cv,0.68,0.0,0.024348296208723717,6836.2,1032.3433333333332,0.0,shared,full,t
dbpedia-entity,llm,200,0.01,weighted_cvl,0.7366666666666667,0.0,0.019585706090462677,6867.29,1032.3433333333332,0.0,shared,full,t
dbpedia-entity,llm,200,0.02,uniform,0.64,0.0,0.0654715155416852,6845.2266666666665,1028.0466666666666,0.0,shared,full,t
dbpedia-entity,llm,200,0.02,weighted,0.9,0.0,0.022768210632310045,6817.91,1028.0466666666666,0.0,shared,full,t
dbpedia-entity,llm,200,0.02,active_judge,0.8466666666666667,0.0,0.03269514401540905,6789.21,1028.0466666666666,0.0,shared,full,t
dbpedia-entity,llm,200,0.02,strat_pilot,0.9133333333333333,0.0,0.02276995939833631,6816.306666666666,1028.0466666666666,0.0,shared,full,t
dbpedia-entity,llm,200,0.02,weighted_cv,0.9166666666666666,0.0,0.02011092977412331,6813.386666666666,1028.0466666666666,0.0,shared,full,t
dbpedia-entity,llm,200,0.02,active_cv,0.89,0.0,0.024806806549645725,6784.886666666666,1028.0466666666666,0.0,shared,full,t
dbpedia-entity,llm,200,0.02,weighted_cvl,0.91,0.0,0.019934800875761702,6813.8,1028.0466666666666,0.0,shared,full,t
