collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,dup_frac,var_est,sampling,pilot_cost,cv_pred,bound
dbpedia-entity,llm,120,0.01,weighted_cv,0.46,0.0,4517.77,1028.5833333333333,0.0,0.02936166485690439,shared,full,binary,t
dbpedia-entity,llm,120,0.01,ai_calib,0.39,0.0,4518.676666666666,1028.5833333333333,0.0,0.036591253886833264,shared,full,binary,t
dbpedia-entity,llm,120,0.01,ai_resid,0.44666666666666666,0.0,4518.14,1028.5833333333333,0.0,0.03257600751508945,shared,full,binary,t
dbpedia-entity,llm,120,0.01,ai_robust_0.5,0.45,0.0,4519.803333333333,1028.5833333333333,0.0,0.029260070982224395,shared,full,binary,t
dbpedia-entity,llm,120,0.01,ai_robust_0.3,0.4533333333333333,0.0,4523.116666666667,1028.5833333333333,0.0,0.029591647509559955,shared,full,binary,t
dbpedia-entity,llm,120,0.02,weighted_cv,0.67,0.0,4600.566666666667,1030.2833333333333,0.0,0.030028935180203612,shared,full,binary,t
dbpedia-entity,llm,120,0.02,ai_calib,0.63,0.0,4600.12,1030.2833333333333,0.0,0.03710805550022316,shared,full,binary,t
dbpedia-entity,llm,120,0.02,ai_resid,0.65,0.0,4596.116666666667,1030.2833333333333,0.0,0.031018581738242866,shared,full,binary,t
dbpedia-entity,llm,120,0.02,ai_robust_0.5,0.6933333333333334,0.0,4603.123333333333,1030.2833333333333,0.0,0.030037216535705333,shared,full,binary,t
dbpedia-entity,llm,120,0.02,ai_robust_0.3,0.65,0.0,4599.866666666667,1030.2833333333333,0.0,0.029998414057183637,shared,full,binary,t
dbpedia-entity,llm,150,0.01,weighted_cv,0.44666666666666666,0.0,5423.5233333333335,1026.34,0.0,0.024143594267082732,shared,full,binary,t
dbpedia-entity,llm,150,0.01,ai_calib,0.46,0.0,5420.443333333334,1026.34,0.0,0.027872000527467643,shared,full,binary,t
dbpedia-entity,llm,150,0.01,ai_resid,0.44666666666666666,0.0,5421.54,1026.34,0.0,0.02688074603620322,shared,full,binary,t
dbpedia-entity,llm,150,0.01,ai_robust_0.5,0.48,0.0,5415.043333333333,1026.34,0.0,0.02416779941621696,shared,full,binary,t
dbpedia-entity,llm,150,0.01,ai_robust_0.3,0.44666666666666666,0.0,5418.943333333334,1026.34,0.0,0.02411231920698519,shared,full,binary,t
dbpedia-entity,llm,150,0.02,weighted_cv,0.7133333333333334,0.0,5348.006666666667,1026.76,0.0,0.024296891274642702,shared,full,binary,t
dbpedia-entity,llm,150,0.02,ai_calib,0.6966666666666667,0.0,5341.213333333333,1026.76,0.0,0.028191115156141696,shared,full,binary,t
dbpedia-entity,llm,150,0.02,ai_resid,0.7,0.0,5335.803333333333,1026.76,0.0,0.02473045215494955,shared,full,binary,t
dbpedia-entity,llm,150,0.02,ai_robust_0.5,0.7133333333333334,0.0,5337.986666666667,1026.76,0.0,0.024462529013626735,shared,full,binary,t
dbpedia-entity,llm,150,0.02,ai_robust_0.3,0.7233333333333334,0.0,5339.153333333334,1026.76,0.0,0.024347256002840195,shared,full,binary,t
